,urls,attraction
33,https://www.tripadvisor.co.kr/Attraction_Review-g297892-d1582693-Reviews-Seongsan_Ilchulbong-Seogwipo_Jeju_Island.html#REVIEWS,Seongsan_Ilchulbong-Seogwipo_Jeju_Island
34,https://www.tripadvisor.co.kr/Attraction_Review-g297885-d550707-Reviews-Seongeup_Folk_Village-Jeju_Jeju_Island.html#REVIEWS,Seongeup_Folk_Village-Jeju_Jeju_Island
35,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d553246-Reviews-Sinchon-Seoul.html#REVIEWS,Sinchon-Seoul
36,https://www.tripadvisor.co.kr/Attraction_Review-g946499-d2478971-Reviews-Sangdangsanseong_Fortress-Cheongju_Chungcheongbuk_do.html#REVIEWS,Sangdangsanseong_Fortress-Cheongju_Chungcheongbuk_do
37,https://www.tripadvisor.co.kr/Attraction_Review-g946499-d4427673-Reviews-Cheongju_National_Museum-Cheongju_Chungcheongbuk_do.html#REVIEWS,Cheongju_National_Museum-Cheongju_Chungcheongbuk_do
38,https://www.tripadvisor.co.kr/Attraction_Review-g946499-d2477490-Reviews-Cheongnamdae-Cheongju_Chungcheongbuk_do.html#REVIEWS,Cheongnamdae-Cheongju_Chungcheongbuk_do
39,https://www.tripadvisor.co.kr/Attraction_Review-g946499-d2478968-Reviews-Cheongju_Early_Printing_Museum-Cheongju_Chungcheongbuk_do.html#REVIEWS,Cheongju_Early_Printing_Museum-Cheongju_Chungcheongbuk_do
40,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d2571660-Reviews-Itaewon-Seoul.html#REVIEWS,Itaewon-Seoul
41,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d6622691-Reviews-Itaewon_Land-Seoul.html#REVIEWS,Itaewon_Land-Seoul
42,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d3808256-Reviews-Itaewon_Antique_Furniture_Street-Seoul.html#REVIEWS,Itaewon_Antique_Furniture_Street-Seoul
43,https://www.tripadvisor.co.kr/Attraction_Review-g2024865-d6671995-Reviews-One_Mount_Water_Park-Goyang_Gyeonggi_do.html#REVIEWS,One_Mount_Water_Park-Goyang_Gyeonggi_do
44,https://www.tripadvisor.co.kr/Attraction_Review-g2024865-d12869206-Reviews-Starfield_Goyang-Goyang_Gyeonggi_do.html#REVIEWS,Starfield_Goyang-Goyang_Gyeonggi_do
45,https://www.tripadvisor.co.kr/Attraction_Review-g2024865-d10020514-Reviews-International_Horticulture_Goyang_Korea-Goyang_Gyeonggi_do.html#REVIEWS,International_Horticulture_Goyang_Korea-Goyang_Gyeonggi_do
46,https://www.tripadvisor.co.kr/Attraction_Review-g612377-d4749948-Reviews-Daegwanryeong_Samyang_Ranch-Pyeongchang_gun_Gangwon_do.html#REVIEWS,Daegwanryeong_Samyang_Ranch-Pyeongchang_gun_Gangwon_do
47,https://www.tripadvisor.co.kr/Attraction_Review-g612377-d6116363-Reviews-Daegwanryeong_Yangtte_Ranch-Pyeongchang_gun_Gangwon_do.html#REVIEWS,Daegwanryeong_Yangtte_Ranch-Pyeongchang_gun_Gangwon_do
48,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d2045868-Reviews-Incheon_Airport_Transit_Tour-Incheon.html#REVIEWS,Incheon_Airport_Transit_Tour-Incheon
49,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d2058117-Reviews-AREX_Airport_Railroad_Express-Incheon.html#REVIEWS,AREX_Airport_Railroad_Express-Incheon
50,https://www.tripadvisor.co.kr/Attraction_Review-g1119868-d2069142-Reviews-The_Independence_Hall_of_Korea-Cheonan_Chungcheongnam_do.html#REVIEWS,The_Independence_Hall_of_Korea-Cheonan_Chungcheongnam_do
51,https://www.tripadvisor.co.kr/Attraction_Review-g780594-d7906238-Reviews-T_Light_Park-Ansan_Gyeonggi_do.html#REVIEWS,T_Light_Park-Ansan_Gyeonggi_do
52,https://www.tripadvisor.co.kr/Attraction_Review-g780594-d8809682-Reviews-Sihwa_Seawall-Ansan_Gyeonggi_do.html#REVIEWS,Sihwa_Seawall-Ansan_Gyeonggi_do
53,https://www.tripadvisor.co.kr/Attraction_Review-g780594-d7906256-Reviews-Tando_Port-Ansan_Gyeonggi_do.html#REVIEWS,Tando_Port-Ansan_Gyeonggi_do
54,https://www.tripadvisor.co.kr/Attraction_Review-g780594-d4095641-Reviews-Ansan_Reed_Wetland-Ansan_Gyeonggi_do.html#REVIEWS,Ansan_Reed_Wetland-Ansan_Gyeonggi_do
55,https://www.tripadvisor.co.kr/Attraction_Review-g2024805-d7061491-Reviews-Jincheon_Nongdari_Bridge-Jincheon_gun_Chungcheongbuk_do.html#REVIEWS,Jincheon_Nongdari_Bridge-Jincheon_gun_Chungcheongbuk_do
