,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attractions,attr_index
25,26,3.0,1.0,"[(3, 0.9999769)]",0.0,0.9999768733978271,0.0,0.0,DMZ-Paju_Gyeonggi_do The_Third_Tunnel-Paju_Gyeonggi_do Imjingak_Pyeonghoa_Nuri_Park-Paju_Gyeonggi_do Dora_Observatory-Paju_Gyeonggi_do The_4th_Tunnel-Yanggu_gun_Gangwon_do The_2nd_Tunnel-Cheorwon_gun_Gangwon_do Panmunjom-Paju_Gyeonggi_do,"[142, 143, 144, 145, 316, 424, 498]"
26,27,1.0,0.975600004196167,"[(1, 0.9755947), (2, 0.02103748)]",0.021037479862570763,0.0,0.975594699382782,0.0,Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do Bears_Town_Ski_Sled-Pocheon_Gyeonggi_do,"[113, 114, 115, 492]"
27,28,1.0,0.9442999958992004,"[(1, 0.9442762), (3, 0.040987432)]",0.0,0.04098743200302124,0.9442762136459351,0.0,Gapyeong_Rail_Park-Gapyeong_gun_Gyeonggi_do Gapyeong_City_Tour_Bus-Gapyeong_gun_Gyeonggi_do The_Garden_of_Morning_Calm-Gapyeong_gun_Gyeonggi_do Cheongpyeong_Lake-Gapyeong_gun_Gyeonggi_do Cheongpyeong_Natural_Recreational_Forest-Gapyeong_gun_Gyeonggi_do Petite_France-Gapyeong_gun_Gyeonggi_do,"[13, 14, 15, 325, 326, 456]"
28,29,4.0,0.48010000586509705,"[(1, 0.072726935), (3, 0.44694358), (4, 0.48012757)]",0.0,0.44694358110427856,0.07272693514823914,0.48012757301330566,Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do Hallyeo_National_Marine_Park_View_Ropeway-Tongyeong_Gyeongsangnam_do,"[100, 280]"
29,30,3.0,0.43209999799728394,"[(1, 0.26535365), (2, 0.2771084), (3, 0.43211484), (4, 0.025423096)]",0.27710840106010437,0.432114839553833,0.26535364985466003,0.025423096492886543,Wolmido-Incheon Wolmi_Park-Incheon Wolmi_Theme_Park-Incheon Wolmido_Cruise-Incheon Chinatown-Incheon Incheon_Art_Platform-Incheon,"[63, 64, 65, 66, 515, 516]"
30,31,4.0,0.7928000092506409,"[(1, 0.034279503), (3, 0.17280564), (4, 0.7927565)]",0.0,0.17280563712120056,0.03427950292825699,0.7927564978599548,Windy_Hill-Geoje_Gyeongsangnam_do Geoje_Okpo_Battle_Memorial_Park-Geoje_Gyeongsangnam_do Geoje_Museum-Geoje_Gyeongsangnam_do,"[218, 367, 368]"
31,32,1.0,0.9599000215530396,"[(1, 0.95985734), (2, 0.029811338)]",0.02981133759021759,0.0,0.9598573446273804,0.0,Songdo_Central_Park-Incheon Songdo_Beach-Busan Songdo_Convensia-Incheon Songdo_Skywalk-Busan Hyundai_Premium_Outlet_Songdo-Incheon,"[74, 75, 76, 77, 78]"
32,33,3.0,0.9911999702453613,"[(3, 0.991176)]",0.0,0.9911760091781616,0.0,0.0,Hwaseong_Fortress-Suwon_Gyeonggi_do Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do Paldalmun_Gate-Suwon_Gyeonggi_do Hwahongmun_Gate-Suwon_Gyeonggi_do Janganmun_Gate-Suwon_Gyeonggi_do Suwon_World_Cup_Stadium-Suwon_Gyeonggi_do,"[56, 57, 58, 59, 60, 473]"
33,34,1.0,0.847100019454956,"[(1, 0.84710723), (2, 0.057583872), (3, 0.09522486)]",0.057583872228860855,0.09522485733032227,0.8471072316169739,0.0,Seoul_World_Cup_Stadium-Seoul MBC_WORLD-Seoul,"[257, 533]"
34,35,2.0,0.7020000219345093,"[(1, 0.18498696), (2, 0.7020027), (3, 0.08306221), (4, 0.02994815)]",0.7020027041435242,0.08306220918893814,0.18498696386814117,0.029948150739073753,Seomun_Market-Daegu Daegu_Metro-Daegu Daegu_Arboretum-Daegu The_Arc-Daegu Daegu_Yangnyeongsi_Museum_of_Oriental_Medicine-Daegu,"[86, 87, 148, 149, 189]"
35,36,1.0,0.8960000276565552,"[(1, 0.8959789), (3, 0.10313523)]",0.0,0.10313522815704346,0.8959789276123047,0.0,Incheon_Airport_Transit_Tour-Incheon AREX_Airport_Railroad_Express-Incheon,"[48, 49]"
36,38,2.0,0.6593000292778015,"[(2, 0.6592599), (3, 0.33523047)]",0.6592599153518677,0.3352304697036743,0.0,0.0,Jeonju_Hanok_Village-Jeonju_Jeollabuk_do Omokdae_and_Imokdae-Jeonju_Jeollabuk_do Jeondong_Catholic_Church-Jeonju_Jeollabuk_do Gyeonggijeon_Shrine-Jeonju_Jeollabuk_do Jeonju_World_Cup_Stadium-Jeonju_Jeollabuk_do,"[153, 154, 155, 156, 474]"
37,39,3.0,0.8824999928474426,"[(3, 0.8825207), (4, 0.11541828)]",0.0,0.8825206756591797,0.0,0.11541827768087387,Donghwasa-Daegu Palgongsan_Cable_Car-Daegu Gatbawi_Rock-Mokpo_Jeollanam_do,"[175, 177, 178]"
38,40,3.0,0.7910000085830688,"[(1, 0.11803574), (2, 0.08381276), (3, 0.79101205)]",0.08381275832653046,0.7910120487213135,0.11803574115037918,0.0,Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do Korean_Folk_Village-Yongin_Gyeonggi_do,"[124, 125, 126, 127]"
