,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attr_index,attraction,category
34,5,2.0,0.9829000234603882,"[(2, 0.9829495), (3, 0.012547712)]",0.9829494953155518,0.012547711841762066,0.0,0.0,40,Itaewon-Seoul,5
35,5,2.0,0.6955999732017517,"[(1, 0.24602918), (2, 0.69557375), (3, 0.043336023), (4, 0.015061079)]",0.6955737471580505,0.04333602264523506,0.24602918326854706,0.01506107859313488,41,Itaewon_Land-Seoul,5
36,5,2.0,0.9372000098228455,"[(2, 0.9372209), (3, 0.061337564)]",0.9372208714485168,0.06133756414055824,0.0,0.0,42,Itaewon_Antique_Furniture_Street-Seoul,5
37,21,1.0,0.82669997215271,"[(1, 0.8267497), (4, 0.17198588)]",0.0,0.0,0.8267496824264526,0.17198587954044342,46,Daegwanryeong_Samyang_Ranch-Pyeongchang_gun_Gangwon_do,21
38,21,1.0,0.8399999737739563,"[(1, 0.8400207), (4, 0.15868697)]",0.0,0.0,0.8400207161903381,0.15868696570396423,47,Daegwanryeong_Yangtte_Ranch-Pyeongchang_gun_Gangwon_do,21
39,36,1.0,0.6941999793052673,"[(1, 0.6942305), (2, 0.0121564325), (3, 0.29358873)]",0.012156432494521141,0.2935887277126312,0.6942304968833923,0.0,48,Incheon_Airport_Transit_Tour-Incheon,36
40,36,1.0,0.9983999729156494,"[(1, 0.99844015)]",0.0,0.0,0.998440146446228,0.0,49,AREX_Airport_Railroad_Express-Incheon,36
41,33,3.0,0.9851999878883362,"[(3, 0.98519516), (4, 0.014569878)]",0.0,0.9851951599121094,0.0,0.01456987764686346,56,Hwaseong_Fortress-Suwon_Gyeonggi_do,33
42,33,3.0,0.9997000098228455,"[(3, 0.9996935)]",0.0,0.9996935129165649,0.0,0.0,57,Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do,33
43,33,3.0,0.8044999837875366,"[(2, 0.19496126), (3, 0.80449307)]",0.19496126472949982,0.8044930696487427,0.0,0.0,58,Paldalmun_Gate-Suwon_Gyeonggi_do,33
44,33,3.0,0.9990000128746033,"[(3, 0.99900264)]",0.0,0.9990026354789734,0.0,0.0,59,Hwahongmun_Gate-Suwon_Gyeonggi_do,33
45,33,3.0,0.9983999729156494,"[(3, 0.9983559)]",0.0,0.9983559250831604,0.0,0.0,60,Janganmun_Gate-Suwon_Gyeonggi_do,33
46,13,1.0,0.9994000196456909,"[(1, 0.99944156)]",0.0,0.0,0.9994415640830994,0.0,61,Hangang_Park-Seoul,13
47,13,1.0,0.9997000098228455,"[(1, 0.9996715)]",0.0,0.0,0.9996715188026428,0.0,62,Eland_Cruise-Seoul,13
48,30,1.0,0.5170000195503235,"[(1, 0.51699394), (2, 0.095839806), (3, 0.34456456), (4, 0.04260172)]",0.09583980590105057,0.3445645570755005,0.5169939398765564,0.04260171949863434,63,Wolmido-Incheon,30
49,30,3.0,0.4194999933242798,"[(1, 0.39011568), (3, 0.41953376), (4, 0.18383104)]",0.0,0.41953375935554504,0.3901156783103943,0.18383103609085083,64,Wolmi_Park-Incheon,30
50,30,1.0,0.8755999803543091,"[(1, 0.8756194), (3, 0.12158744)]",0.0,0.12158744037151337,0.8756194114685059,0.0,65,Wolmi_Theme_Park-Incheon,30
51,30,1.0,0.9052000045776367,"[(1, 0.90515614), (3, 0.08738633)]",0.0,0.08738633245229721,0.905156135559082,0.0,66,Wolmido_Cruise-Incheon,30
52,3,3.0,0.9937000274658203,"[(3, 0.9937128)]",0.0,0.9937127828598022,0.0,0.0,67,Jogyesa_Temple-Seoul,3
53,3,3.0,0.9998999834060669,"[(3, 0.9998735)]",0.0,0.9998735189437866,0.0,0.0,68,Jongmyo_Shrine-Seoul,3
54,3,2.0,0.630299985408783,"[(2, 0.63025165), (3, 0.36356714)]",0.6302516460418701,0.36356714367866516,0.0,0.0,69,Jongno_Jewelry_Shopping_Street-Seoul,3
55,3,3.0,0.9573000073432922,"[(1, 0.016411668), (2, 0.026247647), (3, 0.95733196)]",0.026247646659612656,0.9573319554328918,0.016411667689681053,0.0,70,Cheonggyecheon_Stream-Seoul,3
56,3,2.0,0.7301999926567078,"[(2, 0.73022336), (3, 0.25602722)]",0.7302233576774597,0.2560272216796875,0.0,0.0,71,Jonglo3ga_Pojangmacha_Geoli-Seoul,3
57,32,1.0,0.9872999787330627,"[(1, 0.987269)]",0.0,0.0,0.9872689843177795,0.0,74,Songdo_Central_Park-Incheon,32
58,32,1.0,0.8704000115394592,"[(1, 0.87044024), (4, 0.12899004)]",0.0,0.0,0.8704402446746826,0.128990039229393,75,Songdo_Beach-Busan,32
59,32,1.0,0.5889999866485596,"[(1, 0.5890204), (2, 0.40885535)]",0.4088553488254547,0.0,0.5890203714370728,0.0,76,Songdo_Convensia-Incheon,32
60,32,1.0,0.8371000289916992,"[(1, 0.837118), (3, 0.023117827), (4, 0.13943304)]",0.0,0.023117827251553535,0.8371180295944214,0.13943304121494293,77,Songdo_Skywalk-Busan,32
61,32,2.0,0.7218999862670898,"[(1, 0.27721506), (2, 0.7218846)]",0.7218846082687378,0.0,0.27721506357192993,0.0,78,Hyundai_Premium_Outlet_Songdo-Incheon,32
62,17,3.0,0.9998999834060669,"[(3, 0.99989265)]",0.0,0.9998926520347595,0.0,0.0,82,Gwanghwamun_Square-Seoul,17
63,17,3.0,0.9728000164031982,"[(1, 0.026300672), (3, 0.97283685)]",0.0,0.9728368520736694,0.026300672441720963,0.0,83,Sejong_Center-Seoul,17
64,17,3.0,0.9990000128746033,"[(3, 0.9989968)]",0.0,0.9989967942237854,0.0,0.0,84,King_Sejong_Memorial_Hall-Seoul,17
65,18,2.0,0.984499990940094,"[(1, 0.015370151), (2, 0.9845383)]",0.9845383167266846,0.0,0.015370151028037071,0.0,85,Garosu_gil-Seoul,18
66,35,2.0,0.9807000160217285,"[(2, 0.98067653), (4, 0.0155767985)]",0.980676531791687,0.0,0.0,0.015576798468828201,86,Seomun_Market-Daegu,35
67,35,2.0,0.5336999893188477,"[(1, 0.46437103), (2, 0.5337465)]",0.5337464809417725,0.0,0.4643710255622864,0.0,87,Daegu_Metro-Daegu,35
68,11,4.0,0.7333999872207642,"[(2, 0.26656425), (4, 0.7333936)]",0.2665642499923706,0.0,0.0,0.7333936095237732,91,Jagalchi_Market-Busan,11
69,11,4.0,0.6886000037193298,"[(1, 0.1785689), (2, 0.07145806), (3, 0.061348885), (4, 0.68862414)]",0.07145805656909943,0.06134888529777527,0.17856889963150024,0.6886241436004639,92,Yongdusan_Park-Busan,11
70,29,4.0,0.4846000075340271,"[(1, 0.07242302), (3, 0.44268042), (4, 0.4846068)]",0.0,0.4426804184913635,0.07242301851511002,0.4846068024635315,100,Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do,29
71,14,1.0,0.9994999766349792,"[(1, 0.999516)]",0.0,0.0,0.9995160102844238,0.0,101,Everland-Yongin_Gyeonggi_do,14
72,12,1.0,0.9168000221252441,"[(1, 0.9168487), (2, 0.06664623), (4, 0.015571018)]",0.06664623320102692,0.0,0.9168487191200256,0.015571017749607563,104,Coex_Aquarium-Seoul,12
73,12,2.0,0.5602999925613403,"[(1, 0.43957704), (2, 0.5603401)]",0.5603401064872742,0.0,0.43957704305648804,0.0,105,Starfield_COEX_Mall-Seoul,12
74,17,3.0,0.9998000264167786,"[(3, 0.99983853)]",0.0,0.9998385310173035,0.0,0.0,108,Gwanghwamun_Gate-Seoul,17
75,27,1.0,0.9696000218391418,"[(1, 0.96957964), (2, 0.02856472)]",0.02856471948325634,0.0,0.9695796370506287,0.0,113,Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do,27
