url,title
/Attraction_Review-g294197-d12538661-Reviews-Express_Bus_Terminal_Shopping_Center-Seoul.html,Express Bus Terminal Shopping Center
/Attraction_Review-g294197-d8822284-Reviews-Gocheok_Sky_Dome-Seoul.html,Gocheok Sky Dome
/Attraction_Review-g294197-d7376481-Reviews-Noryangjin_Fisheries_Wholesale_Market-Seoul.html,Noryangjin Fisheries Wholesale Market
/Attraction_Review-g294197-d6656809-Reviews-Korea_University-Seoul.html,Korea University
/Attraction_Review-g294197-d1821360-Reviews-Cheongwadae_Sarangchae-Seoul.html,Cheongwadae Sarangchae
/Attraction_Review-g294197-d13319724-Reviews-Mangwon_Market-Seoul.html,Mangwon Market
/Attraction_Review-g294197-d12034029-Reviews-SRT-Seoul.html,SRT
/Attraction_Review-g294197-d7154858-Reviews-Arario_Museum_in_Space-Seoul.html,Arario Museum in Space
/Attraction_Review-g294197-d554551-Reviews-63_City-Seoul.html,63 City
/Attraction_Review-g294197-d2483947-Reviews-Hongdae_NANTA_Theatre-Seoul.html,Hongdae NANTA Theatre
/Attraction_Review-g294197-d1972734-Reviews-Jeongdong_Theater-Seoul.html,Jeongdong Theater
/Attraction_Review-g294197-d8790342-Reviews-Yongma_Land-Seoul.html,Yongma Land
/Attraction_Review-g294197-d9796664-Reviews-Common_Ground-Seoul.html,Common Ground
/Attraction_Review-g294197-d553213-Reviews-Seoul_Daehangno-Seoul.html,Seoul Daehangno
/Attraction_Review-g294197-d4084344-Reviews-Seoul_City_Hall-Seoul.html,Seoul City Hall
/Attraction_Review-g294197-d3901164-Reviews-Lotte_Outlets_Seoul_Station-Seoul.html,Lotte Outlets Seoul Station
/Attraction_Review-g294197-d4438505-Reviews-Lotte_World_Folk_Museum-Seoul.html,Lotte World Folk Museum
/Attraction_Review-g294197-d8084014-Reviews-Hyundai_Department_Store_Apgujeong_Main-Seoul.html,Hyundai Department Store Apgujeong Main
/Attraction_Review-g294197-d2092468-Reviews-Seonyudo_Park-Seoul.html,Seonyudo Park
/Attraction_Review-g294197-d2476788-Reviews-D_Cube_City-Seoul.html,D-Cube City
/Attraction_Review-g294197-d15306289-Reviews-Seoul_Botanical_Garden-Seoul.html,Seoul Botanical Garden
/Attraction_Review-g294197-d2457547-Reviews-Grilled_Fish_Street_in_Dongdaemun_Market-Seoul.html,Grilled Fish Street in Dongdaemun Market
/Attraction_Review-g294197-d1758805-Reviews-The_Blue_House_Cheong_Wa_Dae-Seoul.html,The Blue House (Cheong Wa Dae)
/Attraction_Review-g294197-d2014599-Reviews-Achasan_Mountain-Seoul.html,Achasan Mountain
