review_title,review_body
just sitting and chitchat,"my friend and i went to this place .it was a nice place to relax, i felt refresh just sat beside the lake. there were some groups of old people gather in the park and also it’s good for families ."
Relax and unwind,"This place is perfect for relaxation. You can walk, jog, bike or simply sit and breathe. You can come here alone, with someone, with friends or with family. Clean, green, relaxing :)Tip: RV parking allowed"
Lovely waterside park,Everywhere looks better on a beautiful day and we were really fortunate to have a fantastic day for our short visit to this waterside parkExtensive parkland allows a really peaceful and surprisingly beautiful areaGreat place !
