review_title,review_body
Serene & peaceful ,"Came here during early March, weather was good . Got to wear winter wear to keep warm . It was windy . It's so serene and peaceful lake . Admire the view . "
Lovely place,"Good view quiet location you can get here by the subway from Seoul to Gapyeong station used about one and a half hours and then get the one day bus ticket 6000KRW you can buy the tickets direct from bus driver and use its to many places include Nami islands, the little Franchise, Cheongpyeong station..."
Great Lake,"This is beautiful lake. You can just watch the nature, or you can do some water sports too. A popular destination for young adults."
Adventure and honeymoon ,"Perfect for couple in love with solitude, adventure, scenic beauty without going bankrupt ☺.....We made online reservation for every thing. We were picked up on time from the railway station . it is equally safe too. The bungee jumping is the highest in Korea. ..around 50 ft high. ..."
Perfect Lake for Water Sports,"Cheongpyeong Lake was the result of constructing a dam. While the area is pleasant enough, visitors to the lake are usually not there for the scenery alone. This area of Korea is well-known for watersports. At Cheongpyeong Lake you can water-ski, jet-ski, banana boat, knee-board, and more.Spending half a day here in Summer was great. The water was cold, but refreshing. I tended to get wet a lot because of my lack of skill on anything being pulled by a boat The area is easily accessed from Seoul and may be a great trip for adults who enjoys being in the water. I stayed overnight in the many nearby ""pensions"" by the lake. Great time with friends."
