review_title,review_body
"Amazing scenery, great walk","The Namhansansung Fortress is a must-see, it's great for many reasons. It's definitely great for hikers, great for those who love history and old buildings, with its splendid gates and walls (and the complex at the center of the complex as well). It's also amazing for those who want to gaze at the city as it allows for wonderful panoramas of Southeast Seoul. And the fortress also offers a wide selection of coffee shops and small restaurants, which are the great to take a break from all the walking. Definitely one of the top attractions in or near Seoul, although its fairly remote location might rebuke some tourists..."
Good hike!,Great place for a hike (except maybe in mid summer)...takes about 3-4 hours to walk around the entire fortress...center of the park has some sights like the temporary palace and the arsenal along with a good selection of restaurants...great place to spend a day if you want a good hike...
Beautiful Fortress,We went strictly to see the fortress & wall. We walked to the North Gate and walked along the wall. Reminded us of The Great Wall of China! Was really beautiful. And its an easy walk the way we went. On a clear day the views from the wall are amazing since its built up on a hill. There are information panels here and there. The history of the fortress is interesting. We had to pay a small fee to park our car but not for the fortress itself. There are a few restaurants around to eat. visited: April 2014
Mountain Fortress,"I enjoyed this fortress. We drove down from Seoul and parked at what I would call the base of trails to the south gate. This is the main gate used by the king. It looked like there was parking closer to the gate. We then hiked up. We took a trail that lead us to a temple to the right and up to the western ridge. The trail was steep, but maintained to the temple. After the temple it became a rugged hiking trail. At the top, of the ridge, we could take a well maintained trail or more of a hiking trail that lead to outside of western fortification and wall back to the South Gate. We took the more hiking path that lead along the outside of the wall and it was a pleasant hike. At the South Gate, there was a little snack area just down the hill. We then hiked up the well maintained trail to the command post and followed the wall back. The well maintained trails at this park are stroller friendly while the others like along the wall are hiking trails. Expect up and down segments particularly along walls as it is in the mountains. The area by the second command post had great views back toward Seoul and the Lotte tower, so if possible plan your trip on clear days. There were many things to see such as the palace within the walls down in the valley that we didn't get to. I think this fortress is a contrast to Suwon. Suwon is in the city and various structures/defenses along the wall with other trappings. Namhansansung is in the mountains and more simplistic likely as the steep mountains negate the need for many defensive structures or maybe to difficult to build. The walls and views in the mountains created some great views. There was a parking fee to use the parking lot."
Nothing much,"I believe people intending to hike to and visit this place during a milder climate would be in for a treat, but it felt quite pointless visiting this place during winter since you only get to see the gate and walls."
See Suwon Fortress instead,"Namhansansung fortress is located in Gyeonggido provinve between Seongnam and Hanam cities. Getting there by puiblic transport is a bit tricky and takes well over 1 hour from Seoul center by public transport.The fortress was completed in the 18th century, around the same time as Suwon fortress, and consequently it is very similar in design as Suwon fortress although on a larger scale. Walking around the entire wall takes about 5 hours over very hilly terrain.It can be a pleasant hike with the occassional towers and temples, it can be disappointing as a historic site. If you have been to the Suwon fortress, you will not see anything dramatically new. Although there are many restaurants and shops near the main car park, there are very few facilities along the wall.In conclusion, it's a good hike but disappointing historic site."
Good to walk,Wonderful nature.Recoded on Unesco world treasure.best time is ealry in the morning
Nice Walk,"Namhansansung is a park preserving old gates and a wall that line the mountain. It's a pretty easy hike (or walk if you will) and there are lots of different routes you can take. There are some pretty cool high up views, but they don't show much but wide expanses of Korean apartments and villages. If you want to go take a walk for a few hours and see some cool old gates and walls then head out there. We took the subway to Namhansansung station on line 8 then picked up the local #9 bus from there to the park."
nice hike on paved walks or stairs,Our relatives took us on a nice hike to the Namansansung Park on a rainy Sunday. Their were a lot a people even on a rainy day so that I can imagine the crowds on a sunny holiday. Be prepared for a strenuous hike with stairs. The hike down is on a wide paved road so that it is much easier to come down. We has a nice lunch at one of the local restaurants with mokkolli and san namul (mountain vegetables).
"Good 1 day trip, not for the faint hearted","Namhansanseong, a mountain fortress in Gwangju (not the one at Jeolla) just outside of Seoul is a good place for. 1 day hike and a unique view of a mountain fortress/ royal refuge, as this was the place where King Injo sought refuge in during the Manchu Invasions, though he has to surrender after 47 days due to a lack of supplies. Currently it is a candidate for UNESCO in 2014( which t fully deserved, and should be conferred upon.) Namhansanseong is fairly easily accessible. One could alight at sanseong subway station and take city bus no 9 to the entrance, or could also alight at namhansanseong station and walk to the outskirts (foothills) of the mountain fortress (quite a walk). The hike up is tiring (400+ m I think), but worth it as the views up at the fortress was simply breathtaking. Halfway up the hike, there are also springs where hikers could take a sip of water from.However, up at the fortress, it is mostly mountainous and signboard showing the map of the entire place is fairly few in between. Some signs indicating location at various points are only available in Korean, so 1 might have some problems in telling where to go if he or she doesn't understand Korean. Brochures of the map is found at the palace in namhansanseong, in front of the office.Come equipped with suitable hiking shoes and ample supples of water would do fine(I wore sneakers up, wasn't much suitable or the sometimes muddy trails).Overall, a good place for ardent hikers looking for a bit of history up in the hills, good scenery too, you wouldn't be disappointed."
Beautifully restored old fortress near Seoul,"Our family used to travel here when I was young as it was nearest rest spot for a weekend getaway. I had not re-visited this site until only recently...I was surprised by how much it has changed! This was a fortress palace that at one point in time was used by a king during invasion as a place of refuge. The walls and the buildings within are well restored. The way to get here is easiest/cheapest/fastest by subway from Seoul. From the subway, it is a bit of a walk to the outskirts of the fortress park, then quite a hike to get to the top. I would say you will need at least full day to view this place (during which you should be able to see little over half of the whole area). It is worth the travel and hike as you get some gorgeous view of Seoul city and experience what it felt like to be in a fortress palace."
Namhansanseong - Candidate for World Heritage,"Namhansanseong Provincial Park, located just south of Seoul, is notable for its great views and hiking opportunities. However, it is most famous for Namhansanseong Fortress. This fortress which dates mostly from the early 17th century was important historically as a refuge for the Joseon government in times of crisis.The famous siege of 1636 is perhaps the most important historical event that occured at the fortress. Roughly 120,000 Manchu Soldiers laid siege to the fortress, which was never breached. After 45 days the Joseon King surrendered after food/water shortages, and had to accept the conditions forced by through treaty by the Qing dynasty.The strength and position of the fortress are well-noted, and historically the fortress was nearly impossible to breach. With a force of only 14,000, Joseon soldiers were able ot repel 120,000 Manchu troops. Compared to Hwaseong fortress, Namhansanseong is better preserved and has much more history of active use in defense of the kingdom. Namhansanseong Fortress is currently a candidate to become a Unesco World Heritage site in 2014. For those who enjoy history and nature this is a great accessible day trip from Seoul."
